===================================
PLATOTERM FOR COLECO ADAM KEY CHART
===================================

ADAM            PLATO
-----------------------------------------
ESC             ASSIGN
CONTROL-A       ANS
CONTROL-B       BACK
CONTROL-LEFT    BACK1 (AKA SHIFT-BACK)
COPY            COPY
SHIFT-COPY      COPY1 (AKA SHIFT-COPY)
CONTROL-D       DATA
SHIFT-UNDO      DATA1 (AKA SHIFT-DATA)
INSERT          EDIT
SHIFT-INSERT    EDIT1 (AKA SHIFT-INSERT)
CONTROL-F       FONT
CLEAR           HELP
SHIFT-CLEAR     HELP1 (AKA SHIFT-HELP)
CONTROL-L       LAB
SHIFT-STORE     LAB1
CONTROL-P       SUPER
SHIFT-SK I      SUPER1 (aka SHIFT-SUPER)
SHIFT-WILDCARD  SQUARE
CONTROL-R       ERASE
CONTROL-S       STOP

HOME            STOP1 (aka SHIFT-STOP)

CONTROL-T       TERM
CONTROL-Y       SUB
SHIFT-SK II     SUB1 (AKA SHIFT-SUB)
SMARTKEY-I      MULTIPLY
SMARTKEY-II     DIVIDE
SMARTKEY-III    SIGMA
SMARTKEY-IV     DELTA
SMARTKEY-V      INTERSECT
SMARTKEY-VI     UNION
WILD CARD       MICRO
UNDO            DATA

ARROW KEYS      w d x a

